solvent,model,type,R2,RMSE,MAE
Ethyl Acetate,Bayesian Optimized RF,machine_learning,0.9988020565399168,0.0090892660415107,0.0065671238176657
Ethyl Acetate,Concentration-Dependent Adsorption Time,analytical,-0.2414771633313881,0.2926038407965568,0.2148104388645356
Ethyl Acetate,Bonded-Layer Adsorption,analytical,-4.203305841849761,0.5990324261488993,0.5384013628878284
Ethyl Acetate,Landau-Levich Wet/Mobile Layer,analytical,-0.9431836495142748,0.3660728991167374,0.3423343780716761
Hexane,Bayesian Optimized RF,machine_learning,0.9811232787135902,0.0124394426845669,0.0062125439393321
Hexane,Concentration-Dependent Adsorption Time,analytical,-1.698028456635532,0.1487170988206248,0.1273452252865608
Hexane,Bonded-Layer Adsorption,analytical,-31.6036531138247,0.5169764661450357,0.5089865248523008
Hexane,Landau-Levich Wet/Mobile Layer,analytical,-23.76817970006682,0.4505932551999654,0.4204639856895253
Toluene,Bayesian Optimized RF,machine_learning,0.9610855675989944,0.0268918962152844,0.0130636226952589
Toluene,Concentration-Dependent Adsorption Time,analytical,0.2515763990973225,0.1179342130488019,0.091562937000372
Toluene,Bonded-Layer Adsorption,analytical,-12.058069849977826,0.4926126613228079,0.4733746249199139
Toluene,Landau-Levich Wet/Mobile Layer,analytical,-11.492506849947189,0.481826713431707,0.4551097624723215
