Polarity (XLogP3), Viscosity (cP), Boiling Point (K), Surface Tension (mN/m),Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
2.7,0.68,350.372,29.46,0.0025,1.25,0.52,0.39
2.7,0.68,350.372,29.46,0.005,1.5,0.53,0.44
2.7,0.68,350.372,29.46,0.01,1.35,0.75,0.46
2.7,0.68,350.372,29.46,0.015,1.25,0.62,0.46
2.7,0.68,350.372,29.46,0.025,1.25,0.56,0.39
2.7,0.68,350.372,29.46,0.05,1.3,0.63,0.39
2.7,0.68,350.372,29.46,0.1,1.25,0.78,0.4
2.7,0.68,350.372,29.46,0.25,1.45,0.8,0.49
2.7,0.68,350.372,29.46,0.5,1.25,0.67,0.2
2.7,0.68,350.372,29.46,0.9,1.6,0.67,0.23
2.7,0.68,350.372,29.46,1.5,1.25,0.6,0.34
2.7,0.68,350.372,29.46,2,1.45,0.64,0.35
2.7,0.68,350.372,29.46,10,1.25,0.75,0.34
2.7,0.68,350.372,29.46,40,1.2,0.78,0.6
2.7,0.68,350.372,29.46,50,1.35,0.83,0.66
2.7,0.68,350.372,29.46,0.0025,1.55,0.52,0.39
2.7,0.68,350.372,29.46,0.0025,1.56,0.53,0.39
2.7,0.68,350.372,29.46,0.0025,1.57,0.52,0.38
2.7,0.68,350.372,29.46,0.005,1.55,0.53,0.44
2.7,0.68,350.372,29.46,0.005,1.56,0.53,0.43
2.7,0.68,350.372,29.46,0.005,1.57,0.53,0.44
2.7,0.68,350.372,29.46,0.01,1.55,0.76,0.46
2.7,0.68,350.372,29.46,0.01,1.56,0.76,0.45
2.7,0.68,350.372,29.46,0.01,1.57,0.72,0.48
2.7,0.68,350.372,29.46,0.015,1.55,0.62,0.44
2.7,0.68,350.372,29.46,0.015,1.56,0.61,0.46
2.7,0.68,350.372,29.46,0.015,1.57,0.63,0.47
2.7,0.68,350.372,29.46,0.025,1.61,0.57,0.39
2.7,0.68,350.372,29.46,0.025,1.61,0.56,0.38
2.7,0.68,350.372,29.46,0.025,1.6,0.56,0.39
2.7,0.68,350.372,29.46,0.05,1.61,0.64,0.34
2.7,0.68,350.372,29.46,0.05,1.61,0.6,0.35
2.7,0.68,350.372,29.46,0.05,1.6,0.65,0.34
2.7,0.68,350.372,29.46,0.1,1.61,0.78,0.63
2.7,0.68,350.372,29.46,0.1,1.61,0.79,0.6
2.7,0.68,350.372,29.46,0.1,1.6,0.78,0.6
2.7,0.68,350.372,29.46,0.25,1.61,0.79,0.53
2.7,0.68,350.372,29.46,0.25,1.61,0.78,0.47
2.7,0.68,350.372,29.46,0.25,1.6,0.86,0.47
2.7,0.68,350.372,29.46,10,1.45,0.75,0.65
2.7,0.68,350.372,29.46,10,1.45,0.74,0.64
2.7,0.68,350.372,29.46,10,1.46,0.76,0.62
2.7,0.68,350.372,29.46,40,1.45,0.85,0.86
2.7,0.68,350.372,29.46,40,1.45,0.85,0.7
2.7,0.68,350.372,29.46,40,1.46,0.86,0.74
2.7,0.68,350.372,29.46,50,1.45,0.83,0.62
2.7,0.68,350.372,29.46,50,1.45,0.83,0.64
2.7,0.68,350.372,29.46,50,1.46,0.83,0.65
2.7,0.68,350.372,29.46,50,1.49,0.8,0.63
2.7,0.68,350.372,29.46,50,1.49,0.8,0.66
2.7,0.68,350.372,29.46,50,1.48,0.8,0.68
