Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
0.1,1.44,0.87,0.34
0.1,1.46,0.85,0.31
0.1,1.44,0.89,0.35
0.15,1.44,0.99,0.32
0.15,1.43,0.97,0.32
0.15,1.44,1.02,0.31
0.25,1.47,1.08,0.36
0.25,1.47,1.12,0.35
0.25,1.47,1.1,0.4
0.5,1.48,1.53,0.26
0.5,1.47,1.48,0.25
0.5,1.48,1.46,0.29
0.1,1.33,0.65,0.39
0.1,1.31,0.65,0.34
0.1,1.32,0.65,0.32
0.25,1.33,0.91,0.41
0.25,1.31,1.01,0.39
0.25,1.32,1.01,0.47
1,1.33,1.28,0.6
1,1.31,1.32,0.64
1,1.32,1.23,0.61
2,1.48,1.68,0.69
2,1.5,1.69,0.66
2,1.5,1.74,0.67
3,1.48,1.99,0.71
3,1.5,1.95,0.7
3,1.5,1.84,0.74
5,1.48,2.55,0.98
5,1.5,2.25,0.99
5,1.5,2.28,0.94
10,1.58,3.51,1.08
10,1.58,3.64,1.07
10,1.57,4.21,1.03
