Polarity (XLogP3), Viscosity (cP), Boiling Point (K), Surface Tension (mN/m), Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
3.9,0.377,342.039,17.89,1,1.49,2.01,0.57
3.9,0.377,342.039,17.89,5,1.43,6.45,0.56
3.9,0.377,342.039,17.89,0.15,1.64,0.88,0.36
3.9,0.377,342.039,17.89,0.07,1.44,0.82,0.68
3.9,0.377,342.039,17.89,2,1.49,3.51,0.53
3.9,0.377,342.039,17.89,0.05,1.45,0.81,0.63
3.9,0.377,342.039,17.89,0.09,1.44,0.88,0.55
3.9,0.377,342.039,17.89,1,1.49,2.01,0.57
3.9,0.377,342.039,17.89,10,1.48,13.18,0.51
3.9,0.377,342.039,17.89,0.09,1.43,0.88,0.54
3.9,0.377,342.039,17.89,0.1,1.62,0.76,0.34
3.9,0.377,342.039,17.89,0.05,1.5,0.61,0.46
3.9,0.377,342.039,17.89,0.05,1.5,0.61,0.46
3.9,0.377,342.039,17.89,0.1,1.63,0.77,0.34
3.9,0.377,342.039,17.89,5,1.44,6.45,0.55
3.9,0.377,342.039,17.89,0.5,1.47,1.3,0.51
3.9,0.377,342.039,17.89,1.5,1.55,2.71,0.49
3.9,0.377,342.039,17.89,0.1,1.63,0.77,0.34
3.9,0.377,342.039,17.89,0.02,1.44,0.72,0.67
3.9,0.377,342.039,17.89,0.1,1.62,0.76,0.35
3.9,0.377,342.039,17.89,5,1.44,6.45,0.55
3.9,0.377,342.039,17.89,0.02,1.45,0.72,0.66
3.9,0.377,342.039,17.89,0.1,1.63,0.77,0.34
3.9,0.377,342.039,17.89,2,1.49,3.5,0.54
3.9,0.377,342.039,17.89,0.15,1.62,0.86,0.38
3.9,0.377,342.039,17.89,1,1.48,2.01,0.59
3.9,0.377,342.039,17.89,0.02,1.45,0.72,0.66
3.9,0.377,342.039,17.89,0.09,1.44,0.88,0.55
3.9,0.377,342.039,17.89,0.25,1.63,0.94,0.41
3.9,0.377,342.039,17.89,0.05,1.48,0.62,0.45
3.9,0.377,342.039,17.89,10,1.48,13.18,0.51
3.9,0.377,342.039,17.89,0.1,1.62,0.76,0.35
3.9,0.377,342.039,17.89,2,1.49,3.5,0.54
3.9,0.377,342.039,17.89,0.1,1.45,0.9,0.59
3.9,0.377,342.039,17.89,3,1.43,4.28,0.55
3.9,0.377,342.039,17.89,0.1,1.46,0.9,0.59
3.9,0.377,342.039,17.89,1.5,1.5,2.68,0.47
3.9,0.377,342.039,17.89,0.15,1.62,0.88,0.38
3.9,0.377,342.039,17.89,0.07,1.47,0.68,0.45
3.9,0.377,342.039,17.89,0.07,1.44,0.82,0.68
3.9,0.377,342.039,17.89,2.5,1.42,3.63,0.57
3.9,0.377,342.039,17.89,3,1.43,4.21,0.57
3.9,0.377,342.039,17.89,2,1.49,3.5,0.54
3.9,0.377,342.039,17.89,7,1.51,9.8,0.5
3.9,0.377,342.039,17.89,5,1.43,6.45,0.56
3.9,0.377,342.039,17.89,7,1.53,9.76,0.52
3.9,0.377,342.039,17.89,0.02,1.44,0.72,0.67
3.9,0.377,342.039,17.89,1,1.48,2.02,0.6
3.9,0.377,342.039,17.89,3,1.43,4.21,0.57
3.9,0.377,342.039,17.89,0.05,1.45,0.79,0.65
3.9,0.377,342.039,17.89,0.09,1.44,0.88,0.55
3.9,0.377,342.039,17.89,0.05,1.44,0.79,0.65
3.9,0.377,342.039,17.89,1,1.49,2.01,0.57
3.9,0.377,342.039,17.89,0.07,1.47,0.69,0.47
3.9,0.377,342.039,17.89,0.02,1.49,0.57,0.48
3.9,0.377,342.039,17.89,0.1,1.45,0.9,0.59
3.9,0.377,342.039,17.89,0.07,1.44,0.83,0.68
3.9,0.377,342.039,17.89,3,1.44,4.21,0.56
3.9,0.377,342.039,17.89,10,1.48,13.18,0.51
3.9,0.377,342.039,17.89,0.05,1.44,0.79,0.65
3.9,0.377,342.039,17.89,0.1,1.45,0.9,0.61
3.9,0.377,342.039,17.89,5,1.44,6.45,0.55
3.9,0.377,342.039,17.89,0.02,1.45,0.72,0.66
3.9,0.377,342.039,17.89,0.09,1.44,0.87,0.55
3.9,0.377,342.039,17.89,0.15,1.62,0.88,0.38
3.9,0.377,342.039,17.89,2.5,1.42,3.63,0.57
3.9,0.377,342.039,17.89,0.05,1.45,0.79,0.65
3.9,0.377,342.039,17.89,2,1.49,3.5,0.54
3.9,0.377,342.039,17.89,0.05,1.45,0.81,0.63
3.9,0.377,342.039,17.89,2.5,1.42,3.63,0.57
3.9,0.377,342.039,17.89,0.5,1.48,1.28,0.5
3.9,0.377,342.039,17.89,0.07,1.44,0.83,0.68
3.9,0.377,342.039,17.89,0.07,1.45,0.68,0.47
3.9,0.377,342.039,17.89,0.5,1.47,1.3,0.51
3.9,0.377,342.039,17.89,3,1.44,4.21,0.56
3.9,0.377,342.039,17.89,1.5,1.55,2.71,0.49
3.9,0.377,342.039,17.89,0.02,1.49,0.57,0.48
3.9,0.377,342.039,17.89,0.02,1.45,0.72,0.66
3.9,0.377,342.039,17.89,0.02,1.49,0.56,0.47
3.9,0.377,342.039,17.89,5,1.44,6.55,0.55
3.9,0.377,342.039,17.89,1.5,1.5,2.68,0.47
3.9,0.377,342.039,17.89,0.02,1.49,0.57,0.48
3.9,0.377,342.039,17.89,5,1.44,6.55,0.55
3.9,0.377,342.039,17.89,0.15,1.64,0.88,0.36
3.9,0.377,342.039,17.89,0.07,1.47,0.69,0.47
3.9,0.377,342.039,17.89,0.1,1.45,0.9,0.61
3.9,0.377,342.039,17.89,2,1.49,3.5,0.54
3.9,0.377,342.039,17.89,0.5,1.47,1.29,0.52
3.9,0.377,342.039,17.89,0.05,1.48,0.62,0.47
3.9,0.377,342.039,17.89,0.5,1.47,1.3,0.51
3.9,0.377,342.039,17.89,0.07,1.44,0.83,0.68
3.9,0.377,342.039,17.89,0.25,1.62,0.98,0.41
3.9,0.377,342.039,17.89,2.5,1.44,3.61,0.6
3.9,0.377,342.039,17.89,0.07,1.44,0.82,0.68
3.9,0.377,342.039,17.89,0.05,1.45,0.81,0.63
3.9,0.377,342.039,17.89,0.07,1.44,0.83,0.68
3.9,0.377,342.039,17.89,0.1,1.62,0.76,0.34
3.9,0.377,342.039,17.89,7,1.53,9.76,0.52
3.9,0.377,342.039,17.89,1.5,1.55,2.71,0.49
3.9,0.377,342.039,17.89,0.09,1.44,0.88,0.55
3.9,0.377,342.039,17.89,0.132932475,1.481014619,0.773562772,0.438447047
3.9,0.377,342.039,17.89,2.077406022,1.477049844,3.612539052,0.544979197
3.9,0.377,342.039,17.89,0.322265965,1.633766299,1.064491126,0.337580349
3.9,0.377,342.039,17.89,9.639784262,1.488978151,12.72893674,0.497715707
3.9,0.377,342.039,17.89,0.326904584,1.640943808,1.069313792,0.318921316
3.9,0.377,342.039,17.89,0.586375164,1.475229925,1.393004896,0.514244232
3.9,0.377,342.039,17.89,0.875458034,1.430480617,1.828549051,0.688223997
3.9,0.377,342.039,17.89,0.10594365,1.429078778,0.915722402,0.691506252
3.9,0.377,342.039,17.89,-0.032467658,1.492659037,0.534151734,0.477579858
3.9,0.377,342.039,17.89,0.532424201,1.474043405,1.356439706,0.508653675
3.9,0.377,342.039,17.89,1.619768715,1.50747042,2.839152991,0.463216434
3.9,0.377,342.039,17.89,2.229922611,1.487646559,3.77242351,0.538661958
