concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason
0.02,1.45,0.71,0.67,models/feature engineering v1/data FE-V1/agg.data.xlsx,2,hexane:2,hexane,legacy_individual_reading,2e-05,0.039999999999999925,hexane:0.02,3.9,0.377,342.039,17.89,True,True,
0.02,1.45,0.72,0.66,models/feature engineering v1/data FE-V1/agg.data.xlsx,3,hexane:3,hexane,legacy_individual_reading,2e-05,0.05999999999999994,hexane:0.02,3.9,0.377,342.039,17.89,True,True,
0.02,1.44,0.72,0.67,models/feature engineering v1/data FE-V1/agg.data.xlsx,4,hexane:4,hexane,legacy_individual_reading,2e-05,0.04999999999999993,hexane:0.02,3.9,0.377,342.039,17.89,True,True,
0.02,1.49,0.57,0.48,models/feature engineering v1/data FE-V1/agg.data.xlsx,5,hexane:5,hexane,legacy_individual_reading,2e-05,0.08999999999999997,hexane:0.02,3.9,0.377,342.039,17.89,True,True,
0.02,1.48,0.58,0.47,models/feature engineering v1/data FE-V1/agg.data.xlsx,6,hexane:6,hexane,legacy_individual_reading,2e-05,0.10999999999999999,hexane:0.02,3.9,0.377,342.039,17.89,True,True,
0.02,1.49,0.56,0.47,models/feature engineering v1/data FE-V1/agg.data.xlsx,7,hexane:7,hexane,legacy_individual_reading,2e-05,0.09000000000000008,hexane:0.02,3.9,0.377,342.039,17.89,True,True,
0.05,1.45,0.79,0.65,models/feature engineering v1/data FE-V1/agg.data.xlsx,8,hexane:8,hexane,legacy_individual_reading,5e-05,0.14,hexane:0.05,3.9,0.377,342.039,17.89,True,True,
0.05,1.45,0.81,0.63,models/feature engineering v1/data FE-V1/agg.data.xlsx,9,hexane:9,hexane,legacy_individual_reading,5e-05,0.18000000000000005,hexane:0.05,3.9,0.377,342.039,17.89,True,True,
0.05,1.44,0.79,0.65,models/feature engineering v1/data FE-V1/agg.data.xlsx,10,hexane:10,hexane,legacy_individual_reading,5e-05,0.14,hexane:0.05,3.9,0.377,342.039,17.89,True,True,
0.05,1.48,0.62,0.47,models/feature engineering v1/data FE-V1/agg.data.xlsx,11,hexane:11,hexane,legacy_individual_reading,5e-05,0.15000000000000002,hexane:0.05,3.9,0.377,342.039,17.89,True,True,
0.05,1.5,0.61,0.46,models/feature engineering v1/data FE-V1/agg.data.xlsx,12,hexane:12,hexane,legacy_individual_reading,5e-05,0.14999999999999997,hexane:0.05,3.9,0.377,342.039,17.89,True,True,
0.05,1.48,0.62,0.45,models/feature engineering v1/data FE-V1/agg.data.xlsx,13,hexane:13,hexane,legacy_individual_reading,5e-05,0.16999999999999998,hexane:0.05,3.9,0.377,342.039,17.89,True,True,
0.07,1.43,0.82,0.69,models/feature engineering v1/data FE-V1/agg.data.xlsx,14,hexane:14,hexane,legacy_individual_reading,7.000000000000001e-05,0.13,hexane:0.07,3.9,0.377,342.039,17.89,True,True,
0.07,1.44,0.83,0.68,models/feature engineering v1/data FE-V1/agg.data.xlsx,15,hexane:15,hexane,legacy_individual_reading,7.000000000000001e-05,0.1499999999999999,hexane:0.07,3.9,0.377,342.039,17.89,True,True,
