concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason,parent_record_id
0.02,1.49,0.5901500507029843,0.4951108645322661,models/feature engineering v1/data FE-V1/agg.data.xlsx,7,synthetic:42:0,hexane,synthetic_audit_only,2e-05,0.09503918617071823,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:7
0.25,1.31,1.0237932904341673,0.39258346625575924,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,18,synthetic:42:1,ethyl_acetate,synthetic_audit_only,0.00025,0.631209824178408,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:18
0.15,1.44,0.9818650471823535,0.3170752901200621,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,5,synthetic:42:2,ethyl_acetate,synthetic_audit_only,0.00015,0.6647897570622914,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:5
0.005,1.56,0.5094221297767264,0.4077900754538194,models/feature engineering v1/data FE-V1/toluene+pdms.csv,21,synthetic:42:3,toluene,synthetic_audit_only,5e-06,0.10163205432290703,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:21
0.005,1.56,0.5050755468290657,0.3949665435547091,models/feature engineering v1/data FE-V1/toluene+pdms.csv,21,synthetic:42:4,toluene,synthetic_audit_only,5e-06,0.11010900327435659,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:21
2.0,1.48,1.7695500083666227,0.672583456147913,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,23,synthetic:42:5,ethyl_acetate,synthetic_audit_only,0.002,1.0969665522187098,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:23
0.02,1.49,0.5583521885647967,0.4681522517031216,models/feature engineering v1/data FE-V1/agg.data.xlsx,7,synthetic:42:6,hexane,synthetic_audit_only,2e-05,0.09019993686167518,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:7
0.25,1.47,1.1176636884379811,0.39278034110682547,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,8,synthetic:42:7,ethyl_acetate,synthetic_audit_only,0.00025,0.7248833473311557,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:8
0.15,1.62,0.8879100883444695,0.3820054894510673,models/feature engineering v1/data FE-V1/agg.data.xlsx,31,synthetic:42:8,hexane,synthetic_audit_only,0.00015,0.5059045988934022,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:31
0.02,1.49,0.5792205595334707,0.4930544776425267,models/feature engineering v1/data FE-V1/agg.data.xlsx,7,synthetic:42:9,hexane,synthetic_audit_only,2e-05,0.086166081890944,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:7
