concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason
0.0025,1.25,0.52,0.39,models/feature engineering v1/data FE-V1/toluene+pdms.csv,2,toluene:2,toluene,workbook_summary,2.5e-06,0.13,toluene:0.0025,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.005,1.5,0.53,0.44,models/feature engineering v1/data FE-V1/toluene+pdms.csv,3,toluene:3,toluene,workbook_summary,5e-06,0.09000000000000002,toluene:0.005,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.01,1.35,0.75,0.46,models/feature engineering v1/data FE-V1/toluene+pdms.csv,4,toluene:4,toluene,workbook_summary,1e-05,0.29,toluene:0.01,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.015,1.25,0.62,0.46,models/feature engineering v1/data FE-V1/toluene+pdms.csv,5,toluene:5,toluene,workbook_summary,1.4999999999999999e-05,0.15999999999999998,toluene:0.015,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.025,1.25,0.56,0.39,models/feature engineering v1/data FE-V1/toluene+pdms.csv,6,toluene:6,toluene,workbook_summary,2.5e-05,0.17000000000000004,toluene:0.025,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.05,1.3,0.63,0.39,models/feature engineering v1/data FE-V1/toluene+pdms.csv,7,toluene:7,toluene,workbook_summary,5e-05,0.24,toluene:0.05,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.1,1.25,0.78,0.4,models/feature engineering v1/data FE-V1/toluene+pdms.csv,8,toluene:8,toluene,workbook_summary,0.0001,0.38,toluene:0.1,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.25,1.45,0.8,0.49,models/feature engineering v1/data FE-V1/toluene+pdms.csv,9,toluene:9,toluene,workbook_summary,0.00025,0.31000000000000005,toluene:0.25,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.5,1.25,0.67,0.2,models/feature engineering v1/data FE-V1/toluene+pdms.csv,10,toluene:10,toluene,workbook_summary,0.0005,0.47000000000000003,toluene:0.5,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
0.9,1.6,0.67,0.23,models/feature engineering v1/data FE-V1/toluene+pdms.csv,11,toluene:11,toluene,workbook_summary,0.0009,0.44000000000000006,toluene:0.9,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
1.5,1.25,0.6,0.34,models/feature engineering v1/data FE-V1/toluene+pdms.csv,12,toluene:12,toluene,workbook_summary,0.0015,0.25999999999999995,toluene:1.5,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
2.0,1.45,0.64,0.35,models/feature engineering v1/data FE-V1/toluene+pdms.csv,13,toluene:13,toluene,workbook_summary,0.002,0.29000000000000004,toluene:2,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
10.0,1.25,0.75,0.34,models/feature engineering v1/data FE-V1/toluene+pdms.csv,14,toluene:14,toluene,workbook_summary,0.01,0.41,toluene:10,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
40.0,1.2,0.78,0.6,models/feature engineering v1/data FE-V1/toluene+pdms.csv,15,toluene:15,toluene,workbook_summary,0.04,0.18000000000000005,toluene:40,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
50.0,1.35,0.83,0.66,models/feature engineering v1/data FE-V1/toluene+pdms.csv,16,toluene:16,toluene,workbook_summary,0.05,0.16999999999999993,toluene:50,2.7,0.68,383.75,29.46,True,False,summary_may_overlap_individual_readings
40.0,1.45,0.85,0.86,models/feature engineering v1/data FE-V1/toluene+pdms.csv,44,toluene:44,toluene,legacy_individual_reading,0.04,-0.010000000000000009,toluene:40,2.7,0.68,383.75,29.46,False,False,invalid_physical_target
