cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
primary,grouped_cv,1,mean,bonded_nm,99,27,29,7,0.5555555555555556,0.2979661016949151,0.2227501687003211,0.16823793490460157,-0.019983245764260582
primary,grouped_cv,1,mean,mobile_nm,99,27,29,7,0.8518518518518519,2.989999999999999,1.2599452006530987,1.090463898241676,-0.0019646319242410115
primary,grouped_cv,1,ridge_raw,bonded_nm,99,27,29,7,0.5185185185185185,0.32964954995677254,0.21948960845323498,0.17579450697250146,0.009658718999234317
primary,grouped_cv,1,ridge_raw,mobile_nm,99,27,29,7,0.7777777777777778,4.0215056344670055,2.186017222713806,1.6501072476176162,-2.0161729249077935
primary,grouped_cv,1,ridge_log_interactions,bonded_nm,99,27,29,7,0.5925925925925926,0.34893696899846055,0.15882310446588802,0.1356315683530542,0.48145754864615264
primary,grouped_cv,1,ridge_log_interactions,mobile_nm,99,27,29,7,0.7407407407407407,2.9142683477683344,1.3816214549406758,1.0190103510189763,-0.20483400369188454
primary,grouped_cv,1,rf_raw,bonded_nm,99,27,29,7,0.8888888888888888,0.4016789285714284,0.11606813333240451,0.09274837942921282,0.723061742839753
primary,grouped_cv,1,rf_raw,mobile_nm,99,27,29,7,1.0,3.1792400282116198,0.6083842411087622,0.46669001145459454,0.7663827051573457
primary,grouped_cv,1,rf_log_interactions,bonded_nm,99,27,29,7,0.8888888888888888,0.4540021031746033,0.14251449466772642,0.11078349767516428,0.582482167472218
primary,grouped_cv,1,rf_log_interactions,mobile_nm,99,27,29,7,1.0,6.43230919573482,1.88063292416326,1.2339012276458112,-1.2323235898896114
primary,grouped_cv,2,mean,bonded_nm,100,26,29,7,0.7692307692307693,0.45142857142857157,0.15629059964841616,0.13959230769230757,-1.130725581635415
primary,grouped_cv,2,mean,mobile_nm,100,26,29,7,0.7692307692307693,2.1612698412698412,2.9331367263366053,1.6332000000000002,-0.06420127694460542
primary,grouped_cv,2,ridge_raw,bonded_nm,100,26,29,7,0.5384615384615384,0.3726585370986315,0.19172187060184728,0.1575859137915369,-2.206307128139194
primary,grouped_cv,2,ridge_raw,mobile_nm,100,26,29,7,0.8846153846153846,2.716006241363914,2.7435533575501383,1.5379315290009843,0.06892217821303637
primary,grouped_cv,2,ridge_log_interactions,bonded_nm,100,26,29,7,0.5769230769230769,0.34721339469096235,0.12121464598758969,0.10027385180527888,-0.28165754954155164
primary,grouped_cv,2,ridge_log_interactions,mobile_nm,100,26,29,7,0.8846153846153846,1.9148551580809385,1.8502420673317066,1.1101948289694774,0.5765362278001425
primary,grouped_cv,2,rf_raw,bonded_nm,100,26,29,7,1.0,0.25785490981240944,0.057874604064171574,0.0458106273907716,0.7078284860297552
primary,grouped_cv,2,rf_raw,mobile_nm,100,26,29,7,0.7692307692307693,1.3296567134681538,0.818681147597834,0.41394462289313283,0.9170934698089198
primary,grouped_cv,2,rf_log_interactions,bonded_nm,100,26,29,7,0.8846153846153846,0.3461832345432343,0.07398477901155198,0.06271505678082588,0.5225294750554975
primary,grouped_cv,2,rf_log_interactions,mobile_nm,100,26,29,7,0.8846153846153846,3.7258164387428816,0.778788682826952,0.328588784329986,0.9249763095089281
primary,grouped_cv,3,mean,bonded_nm,101,25,28,8,0.96,0.36184615384615393,0.1114276059225505,0.0994217821782178,-0.7116793720265369
primary,grouped_cv,3,mean,mobile_nm,101,25,28,8,0.84,2.7799999999999994,2.5206329553192828,1.370229702970297,-9.215965401931925e-07
primary,grouped_cv,3,ridge_raw,bonded_nm,101,25,28,8,0.76,0.3424082820511274,0.12884831924360646,0.1139290223863468,-1.288728793329574
primary,grouped_cv,3,ridge_raw,mobile_nm,101,25,28,8,0.72,3.250542783997833,2.3289633469799633,1.0664095744970463,0.14629762899072474
primary,grouped_cv,3,ridge_log_interactions,bonded_nm,101,25,28,8,0.88,0.34249706003369534,0.10600854415741666,0.08908292754151578,-0.5492394888133822
primary,grouped_cv,3,ridge_log_interactions,mobile_nm,101,25,28,8,0.72,2.0566525537265696,1.584986064938037,0.6598262170632259,0.6046041772652354
