Polarity (XLogP3),Viscosity (cP),Boiling Point (K),Surface Tension (mN/m),concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_row,negative_mobile,negative_concentration,negative_thickness
3.9,0.377,342.039,17.89,-0.032467658,1.492659037,0.534151734,0.477579858,110,False,True,False
3.9,0.377,342.039,17.89,-0.067682274,1.448418803,0.681087181,0.583684931,114,False,True,False
3.9,0.377,342.039,17.89,-0.047854164,1.476803084,0.568619139,0.450652473,123,False,True,False
3.9,0.377,342.039,17.89,-0.275921623,1.620026074,0.35167403,0.384252263,137,True,True,False
3.9,0.377,342.039,17.89,-0.055546134,1.434997036,0.649779973,0.549604992,139,False,True,False
3.9,0.377,342.039,17.89,-0.024127836,1.630625214,0.594710412,0.380872703,141,False,True,False
3.9,0.377,342.039,17.89,-0.009296473,1.629025324,0.687159364,0.367142712,143,False,True,False
3.9,0.377,342.039,17.89,-0.118164542,1.617745671,0.476969577,0.355297896,145,False,True,False
3.9,0.377,342.039,17.89,-0.349930875,1.449117231,0.24871831,0.675250678,151,True,True,False
3.9,0.377,342.039,17.89,-0.168689743,1.45986472,0.567182937,0.589988609,161,True,True,False
3.9,0.377,342.039,17.89,-0.073003921,1.437817614,0.665462927,0.615552165,175,False,True,False
3.9,0.377,342.039,17.89,-0.077625034,1.434031014,0.684384947,0.556874721,180,False,True,False
3.9,0.377,342.039,17.89,-0.138793531,1.632052701,0.508935434,0.360246201,182,False,True,False
3.9,0.377,342.039,17.89,-0.004365775,1.617845093,0.71778534,0.377556847,184,False,True,False
3.9,0.377,342.039,17.89,-0.336845356,1.451237309,0.177342313,0.470101457,198,True,True,False
3.9,0.377,342.039,17.89,-0.036649685,1.435063543,0.716413172,0.55039864,202,False,True,False
3.9,0.377,342.039,17.89,-0.191030858,1.443196196,0.530370609,0.613786349,203,True,True,False
3.9,0.377,342.039,17.89,-0.272719931,1.45290089,0.426800226,0.595585705,209,True,True,False
3.9,0.377,342.039,17.89,-0.19683037,1.619365611,0.389100347,0.410497509,226,True,True,False
3.9,0.377,342.039,17.89,-0.189122844,1.440079771,0.517493753,0.600852058,227,True,True,False
3.9,0.377,342.039,17.89,-0.160632871,1.454355131,0.547556307,0.630833117,229,True,True,False
3.9,0.377,342.039,17.89,-0.063005222,1.48601931,0.503829303,0.463671091,232,False,True,False
3.9,0.377,342.039,17.89,-0.594533239,1.47979928,-0.165762444,0.484955226,233,True,True,True
3.9,0.377,342.039,17.89,-0.084816125,1.442195043,0.629510709,0.623390337,234,False,True,False
3.9,0.377,342.039,17.89,-0.140241206,1.445290679,0.563097558,0.652163332,239,True,True,False
3.9,0.377,342.039,17.89,-0.308819365,1.453694871,0.362254343,0.527786411,255,True,True,False
3.9,0.377,342.039,17.89,-0.058659251,1.449648541,0.611853197,0.664829362,256,True,True,False
3.9,0.377,342.039,17.89,-0.39912307,1.480817195,0.030376248,0.46795189,269,True,True,False
3.9,0.377,342.039,17.89,-0.406199127,1.44960623,0.244054071,0.599902594,271,True,True,False
3.9,0.377,342.039,17.89,-0.198794937,1.639069461,0.380427237,0.314791586,276,False,True,False
3.9,0.377,342.039,17.89,-0.003777501,1.628291455,0.6431573,0.340212929,279,False,True,False
3.9,0.377,342.039,17.89,-0.13538931,1.497778407,0.395729827,0.474636296,281,True,True,False
3.9,0.377,342.039,17.89,-0.424574947,1.439711891,0.170566422,0.676184483,285,True,True,False
3.9,0.377,342.039,17.89,-0.055056475,1.463914185,0.700165233,0.580566389,298,False,True,False
3.9,0.377,342.039,17.89,-0.014677372,1.621333106,0.623838246,0.346752235,304,False,True,False
3.9,0.377,342.039,17.89,-0.325851711,1.476288767,0.137364296,0.495141966,306,True,True,False
3.9,0.377,342.039,17.89,-0.003122308,1.492341498,0.537180149,0.472133385,308,False,True,False
3.9,0.377,342.039,17.89,-0.274364935,1.436701952,0.410023017,0.55580667,309,True,True,False
3.9,0.377,342.039,17.89,-0.227830078,1.498698432,0.25719333,0.426802173,311,True,True,False
3.9,0.377,342.039,17.89,-0.234417064,1.439121648,0.447924834,0.549994709,314,True,True,False
3.9,0.377,342.039,17.89,-0.038031362,1.433798373,0.505394285,0.489644751,316,False,True,False
3.9,0.377,342.039,17.89,-0.038458997,1.450385401,0.722077468,0.603001009,324,False,True,False
3.9,0.377,342.039,17.89,-0.176387421,1.467348375,0.391339153,0.480908831,325,True,True,False
3.9,0.377,342.039,17.89,-0.223030656,1.635218796,0.417438416,0.372052342,329,False,True,False
3.9,0.377,342.039,17.89,-0.091708362,1.452821907,0.57029662,0.669323433,336,True,True,False
3.9,0.377,342.039,17.89,-0.011920821,1.488711232,0.559298823,0.434102602,338,False,True,False
3.9,0.377,342.039,17.89,-0.157228131,1.441753165,0.510541992,0.674765439,339,True,True,False
3.9,0.377,342.039,17.89,-0.108066444,1.623595547,0.482438257,0.337512248,345,False,True,False
3.9,0.377,342.039,17.89,-0.016988151,1.475511878,0.577415669,0.467977642,354,False,True,False
3.9,0.377,342.039,17.89,-0.141417384,1.451493887,0.530352143,0.661951622,356,True,True,False
3.9,0.377,342.039,17.89,-0.094361664,1.456108863,0.650930156,0.661979921,358,True,True,False
3.9,0.377,342.039,17.89,-0.240747877,1.497849057,0.216807325,0.459527736,361,True,True,False
3.9,0.377,342.039,17.89,-0.334355242,1.440933788,0.303694193,0.671798001,362,True,True,False
3.9,0.377,342.039,17.89,-0.124101163,1.439685376,0.531231255,0.671250047,364,True,True,False
3.9,0.377,342.039,17.89,-0.060258184,1.45834531,0.636420271,0.638593213,367,True,True,False
3.9,0.377,342.039,17.89,-0.203031121,1.44428329,0.488887254,0.645844759,369,True,True,False
3.9,0.377,342.039,17.89,-0.197091228,1.626427492,0.381287968,0.347892924,370,False,True,False
3.9,0.377,342.039,17.89,-0.426211397,1.428229559,0.17405341,0.684332023,376,True,True,False
3.9,0.377,342.039,17.89,-0.120098234,1.489201934,0.368999198,0.469717531,379,True,True,False
3.9,0.377,342.039,17.89,-0.456194934,1.444460903,0.148288962,0.662201331,381,True,True,False
3.9,0.377,342.039,17.89,-0.258169827,1.612301505,0.306199377,0.350339704,382,True,True,False
3.9,0.377,342.039,17.89,-0.301645321,1.458977473,0.162531369,0.455884915,384,True,True,False
3.9,0.377,342.039,17.89,-0.160894069,1.61886682,0.455430407,0.345323049,385,False,True,False
3.9,0.377,342.039,17.89,-0.346974698,1.443290239,0.257053107,0.660349089,388,True,True,False
3.9,0.377,342.039,17.89,-0.24353423,1.426276352,0.389698558,0.700522406,389,True,True,False
3.9,0.377,342.039,17.89,-0.054754613,1.488419272,0.503817171,0.444766701,391,False,True,False
3.9,0.377,342.039,17.89,-0.119371698,1.446536626,0.59135216,0.639107904,399,True,True,False
3.9,0.377,342.039,17.89,-0.16454901,1.620737685,0.493614445,0.380204615,403,False,True,False
3.9,0.377,342.039,17.89,-0.251755152,1.444613253,0.296610214,0.476229212,414,True,True,False
3.9,0.377,342.039,17.89,-0.095908347,1.458776677,0.635438285,0.631289453,415,False,True,False
3.9,0.377,342.039,17.89,-0.185737685,1.444777168,0.477718021,0.668417509,417,True,True,False
3.9,0.377,342.039,17.89,-0.103701481,1.48697778,0.43171745,0.463689601,418,True,True,False
3.9,0.377,342.039,17.89,-0.203609874,1.632342621,0.40687933,0.41551476,427,True,True,False
3.9,0.377,342.039,17.89,-0.106057168,1.445794668,0.527943985,0.660154331,443,True,True,False
3.9,0.377,342.039,17.89,-0.189429458,1.421403635,0.519187495,0.581566622,445,True,True,False
3.9,0.377,342.039,17.89,-0.045498229,1.443403798,0.623366218,0.681990881,446,True,True,False
3.9,0.377,342.039,17.89,-0.143202912,1.43480413,0.591478404,0.556213242,447,False,True,False
3.9,0.377,342.039,17.89,-0.459489384,1.481776098,-0.016194779,0.474862448,458,True,True,True
3.9,0.377,342.039,17.89,-0.018825353,1.615748545,0.610329994,0.358760362,460,False,True,False
3.9,0.377,342.039,17.89,-0.323953797,1.460392114,0.375186987,0.645248664,466,True,True,False
3.9,0.377,342.039,17.89,-0.044124745,1.462474393,0.710173304,0.579671992,470,False,True,False
3.9,0.377,342.039,17.89,-0.019031652,1.627284818,0.624876422,0.338550395,473,False,True,False
3.9,0.377,342.039,17.89,-0.070486138,1.624334039,0.622252944,0.375351315,478,False,True,False
3.9,0.377,342.039,17.89,-0.130799436,1.461948285,0.578196594,0.572512954,481,False,True,False
3.9,0.377,342.039,17.89,-0.200271688,1.629758369,0.343472045,0.411738201,486,True,True,False
3.9,0.377,342.039,17.89,-0.08526201,1.440944648,0.667204845,0.556122628,489,False,True,False
3.9,0.377,342.039,17.89,-0.041284891,1.473757365,0.492999655,0.500838152,493,True,True,False
3.9,0.377,342.039,17.89,-0.077335813,1.611648152,0.521251998,0.358598795,495,False,True,False
3.9,0.377,342.039,17.89,-0.110436993,1.650717103,0.55661759,0.347887556,507,False,True,False
3.9,0.377,342.039,17.89,-0.00195348,1.468108776,0.624527531,0.479313176,508,False,True,False
3.9,0.377,342.039,17.89,-0.024454499,1.444902522,0.648204432,0.667910647,510,True,True,False
3.9,0.377,342.039,17.89,-0.114092666,1.619575897,0.54227859,0.384448144,515,False,True,False
3.9,0.377,342.039,17.89,-0.422746999,1.507012373,-0.000690566,0.451659656,526,True,True,True
3.9,0.377,342.039,17.89,-0.20973275,1.621289404,0.436643755,0.400209309,533,False,True,False
3.9,0.377,342.039,17.89,-0.321770427,1.430356726,0.329558849,0.688830318,543,True,True,False
3.9,0.377,342.039,17.89,-0.033191357,1.613633287,0.656935578,0.37992316,551,False,True,False
3.9,0.377,342.039,17.89,-0.160317507,1.447337738,0.527738312,0.668845925,553,True,True,False
3.9,0.377,342.039,17.89,-0.13097997,1.637645536,0.488350179,0.31999435,555,False,True,False
3.9,0.377,342.039,17.89,-0.128944766,1.483056613,0.398439837,0.444076673,558,True,True,False
3.9,0.377,342.039,17.89,-0.271108404,1.627088212,0.305043764,0.328614882,565,True,True,False
3.9,0.377,342.039,17.89,-0.119821737,1.431142605,0.578258599,0.557555276,567,False,True,False
3.9,0.377,342.039,17.89,-0.112002053,1.481123839,0.559077399,0.509458882,569,False,True,False
3.9,0.377,342.039,17.89,-0.027948049,1.431736429,0.6642741,0.682712368,586,True,True,False
3.9,0.377,342.039,17.89,-0.031925857,1.622849923,0.652501787,0.388894611,587,False,True,False
3.9,0.377,342.039,17.89,-0.095104978,1.455797234,0.619993785,0.614666698,593,False,True,False
3.9,0.377,342.039,17.89,-0.369554445,1.482796714,0.129143349,0.458065373,597,True,True,False
3.9,0.377,342.039,17.89,-0.268852255,1.442813894,0.379377342,0.670128523,601,True,True,False
3.9,0.377,342.039,17.89,-0.135956126,1.448945983,0.530011501,0.666849698,603,True,True,False
3.9,0.377,342.039,17.89,-0.174245924,1.634491629,0.389749853,0.39628266,622,True,True,False
3.9,0.377,342.039,17.89,-0.090394012,1.461010411,0.669077418,0.602918795,629,False,True,False
3.9,0.377,342.039,17.89,-0.283458231,1.448513186,0.450392893,0.593716732,638,True,True,False
