cohort,protocol,fold,role,record_id,group_id
primary,grouped_cv,1,proper_train,hexane:2,hexane:0.02
primary,grouped_cv,1,proper_train,hexane:3,hexane:0.02
primary,grouped_cv,1,proper_train,hexane:4,hexane:0.02
primary,grouped_cv,1,proper_train,hexane:5,hexane:0.02
primary,grouped_cv,1,proper_train,hexane:6,hexane:0.02
primary,grouped_cv,1,proper_train,hexane:7,hexane:0.02
primary,grouped_cv,1,proper_train,hexane:20,hexane:0.09
primary,grouped_cv,1,proper_train,hexane:21,hexane:0.09
primary,grouped_cv,1,proper_train,hexane:22,hexane:0.09
primary,grouped_cv,1,proper_train,hexane:29,hexane:0.15
primary,grouped_cv,1,proper_train,hexane:30,hexane:0.15
primary,grouped_cv,1,proper_train,hexane:31,hexane:0.15
primary,grouped_cv,1,proper_train,hexane:38,hexane:1
primary,grouped_cv,1,proper_train,hexane:39,hexane:1
primary,grouped_cv,1,proper_train,hexane:40,hexane:1
primary,grouped_cv,1,proper_train,hexane:47,hexane:2.5
primary,grouped_cv,1,proper_train,hexane:48,hexane:2.5
primary,grouped_cv,1,proper_train,hexane:49,hexane:2.5
primary,grouped_cv,1,proper_train,hexane:53,hexane:5
primary,grouped_cv,1,proper_train,hexane:54,hexane:5
primary,grouped_cv,1,proper_train,hexane:55,hexane:5
primary,grouped_cv,1,proper_train,hexane:56,hexane:7
primary,grouped_cv,1,proper_train,hexane:57,hexane:7
primary,grouped_cv,1,proper_train,hexane:58,hexane:7
primary,grouped_cv,1,proper_train,toluene:20,toluene:0.005
primary,grouped_cv,1,proper_train,toluene:21,toluene:0.005
primary,grouped_cv,1,proper_train,toluene:22,toluene:0.005
primary,grouped_cv,1,proper_train,toluene:29,toluene:0.025
primary,grouped_cv,1,proper_train,toluene:30,toluene:0.025
primary,grouped_cv,1,proper_train,toluene:31,toluene:0.025
primary,grouped_cv,1,proper_train,toluene:32,toluene:0.05
primary,grouped_cv,1,proper_train,toluene:33,toluene:0.05
primary,grouped_cv,1,proper_train,toluene:34,toluene:0.05
primary,grouped_cv,1,proper_train,toluene:35,toluene:0.1
primary,grouped_cv,1,proper_train,toluene:36,toluene:0.1
primary,grouped_cv,1,proper_train,toluene:37,toluene:0.1
primary,grouped_cv,1,proper_train,toluene:45,toluene:40
primary,grouped_cv,1,proper_train,toluene:46,toluene:40
primary,grouped_cv,1,proper_train,ethyl_acetate:5,ethyl_acetate:0.15
primary,grouped_cv,1,proper_train,ethyl_acetate:6,ethyl_acetate:0.15
primary,grouped_cv,1,proper_train,ethyl_acetate:7,ethyl_acetate:0.15
primary,grouped_cv,1,proper_train,ethyl_acetate:8,ethyl_acetate:0.25
primary,grouped_cv,1,proper_train,ethyl_acetate:9,ethyl_acetate:0.25
primary,grouped_cv,1,proper_train,ethyl_acetate:10,ethyl_acetate:0.25
primary,grouped_cv,1,proper_train,ethyl_acetate:17,ethyl_acetate:0.25
primary,grouped_cv,1,proper_train,ethyl_acetate:18,ethyl_acetate:0.25
primary,grouped_cv,1,proper_train,ethyl_acetate:19,ethyl_acetate:0.25
primary,grouped_cv,1,proper_train,ethyl_acetate:20,ethyl_acetate:1
primary,grouped_cv,1,proper_train,ethyl_acetate:21,ethyl_acetate:1
primary,grouped_cv,1,proper_train,ethyl_acetate:22,ethyl_acetate:1
primary,grouped_cv,1,proper_train,ethyl_acetate:23,ethyl_acetate:2
primary,grouped_cv,1,proper_train,ethyl_acetate:24,ethyl_acetate:2
primary,grouped_cv,1,proper_train,ethyl_acetate:25,ethyl_acetate:2
primary,grouped_cv,1,proper_train,ethyl_acetate:26,ethyl_acetate:3
