solvent,group_id,concentration_g_l,n,mobile_mean_nm,mobile_min_nm,mobile_max_nm,lld_nm,observed_over_lld,equivalent_speed_or_viscosity_factor,equivalent_tension_factor,equivalent_density_factor,dilute_vs_additive_relative_difference
ethyl_acetate,ethyl_acetate:0.1,0.1,6,0.4183333333333334,0.26,0.54,0.10863659294136205,3.8507589570591008,7.5564793770939005,0.0003067058038590389,0.06743841141135203,0.00010362694300518135
ethyl_acetate,ethyl_acetate:0.15,0.15,3,0.6766666666666666,0.6499999999999999,0.71,0.16294644746574394,4.152693582404867,8.462424949032297,0.00019499374473673611,0.057988279908602024,0.000155440414507772
ethyl_acetate,ethyl_acetate:0.25,0.25,6,0.6416666666666667,0.5,0.7700000000000001,0.27154927699484205,2.362984257471821,3.632379721454568,0.005744272448430017,0.17909288946609356,0.00025906735751295336
ethyl_acetate,ethyl_acetate:0.5,0.5,3,1.2233333333333334,1.17,1.27,0.5429579277457717,2.253090471323098,3.3819559476838883,0.007644132648451612,0.19698934595385245,0.0005181347150259067
ethyl_acetate,ethyl_acetate:1,1.0,3,0.66,0.62,0.68,1.0853537872433594,0.6080966480766644,0.4741971224949079,19.777178935964304,2.7042994570328363,0.0010362694300518134
ethyl_acetate,ethyl_acetate:10,10.0,3,2.7266666666666666,2.43,3.18,10.753351368995746,0.25356436083063744,0.12768277660226618,3762.4499091351267,15.553336765468648,0.010362694300518135
ethyl_acetate,ethyl_acetate:2,2.0,3,1.03,0.99,1.0699999999999998,2.168462788990869,0.4749908576846403,0.32736170654857355,87.0740000732298,4.43230357926106,0.002072538860103627
ethyl_acetate,ethyl_acetate:3,3.0,3,1.21,1.1,1.28,3.249333962222371,0.37238400671269395,0.22724091572175953,375.019523087235,7.211372992317284,0.0031088082901554403
ethyl_acetate,ethyl_acetate:5,5.0,3,1.39,1.26,1.5699999999999998,5.404390507613842,0.2571982905457577,0.13043739494341422,3454.5504026263975,15.116938439411316,0.0051813471502590676
hexane,hexane:0.02,0.02,6,0.07333333333333325,0.0399999999999999,0.1099999999999999,0.024800411759561228,2.95694015261909,5.084682058436689,0.0014960454652852618,0.11437073989657143,2.072538860103627e-05
hexane,hexane:0.05,0.05,6,0.15499999999999997,0.14,0.18,0.06199910200562607,2.5000362099750184,3.95293295501775,0.0040956440595058315,0.15999536522389296,5.1813471502590674e-05
hexane,hexane:0.07,0.07,6,0.17999999999999994,0.13,0.23,0.08679694400068515,2.0738057321301437,2.986428392423248,0.012571629594010104,0.23252189777339746,7.253886010362695e-05
hexane,hexane:0.09,0.09,3,0.3299999999999999,0.3199999999999999,0.3399999999999999,0.11159375820177701,2.9571546412417984,5.085235312563854,0.0014953945154571964,0.11435414939941857,9.326424870466321e-05
hexane,hexane:0.1,0.1,6,0.36166666666666664,0.29,0.43,0.12399177989955329,2.916860028621701,4.981651973159441,0.0016237025219048573,0.11753543574417247,0.00010362694300518135
hexane,hexane:0.15,0.15,3,0.5,0.48,0.52,0.18597803468019306,2.6884895351206266,4.4082125383823625,0.0026481946142551493,0.13835131753402835,0.000155440414507772
hexane,hexane:0.25,0.25,3,0.5499999999999999,0.53,0.5700000000000001,0.3099312788942214,1.774586940570504,2.363991560343585,0.032019630285194646,0.31754511615539727,0.00025906735751295336
hexane,hexane:0.5,0.5,3,0.7799999999999999,0.77,0.79,0.6197020547957477,1.258669378233845,1.41210665496322,0.25149537391697446,0.6312140642966338,0.0005181347150259067
hexane,hexane:1,1.0,3,1.4266666666666665,1.42,1.44,1.238762596077214,1.1516869101347489,1.23595211812878,0.4285420230483317,0.753930197231179,0.0010362694300518134
hexane,hexane:1.5,1.5,3,2.216666666666667,2.21,2.22,1.8571826194680634,1.1935641888042046,1.3039732128620234,0.34587989653033957,0.7019536556840593,0.0015544041450777201
hexane,hexane:10,10.0,1,12.67,12.67,12.67,12.273278644211166,1.032323991599095,1.0488757169032732,0.8262355481838602,0.9383566988775847,0.010362694300518135
hexane,hexane:2,2.0,3,2.9766666666666666,2.96,2.99,2.4749631185327585,1.2027115250231828,1.3189921442377526,0.33039324862704644,0.6913167104463933,0.002072538860103627
hexane,hexane:2.5,2.5,3,3.016666666666667,2.98,3.06,3.092105084781883,0.9756028931595844,0.9636284628050911,1.15974236667764,1.0506397814231039,0.0025906735751295338
hexane,hexane:3,3.0,3,3.6733333333333333,3.64,3.73,3.7086095076774446,0.9904880321664808,0.9857660313057381,1.0590210812889078,1.0192988521440958,0.0031088082901554403
hexane,hexane:5,5.0,3,5.93,5.890000000000001,6.0,6.168271483559736,0.9613714337647427,0.9426203686767223,1.2666386035953592,1.0819758649931104,0.0051813471502590676
hexane,hexane:7,7.0,3,9.290000000000001,9.24,9.33,8.617811393697655,1.0779999208144573,1.1192525523487822,0.637217400105861,0.8605231178744129,0.007253886010362694
toluene,toluene:0.0025,0.0025,3,0.1366666666666667,0.13,0.14,0.003674197715243912,37.19632890185771,226.8559209423897,3.7757177764654324e-10,0.0007227695398948971,2.5906735751295338e-06
toluene,toluene:0.005,0.005,3,0.09333333333333334,0.09,0.1,0.007348376393292602,12.701218383223464,45.26557848575432,2.3819229024006257e-07,0.006198822966294641,5.1813471502590676e-06
toluene,toluene:0.01,0.01,3,0.2833333333333333,0.24,0.31,0.014696676638396135,19.278734934747384,84.64821380554787,1.947730238329747e-08,0.0026905615749788355,1.0362694300518135e-05
toluene,toluene:0.015,0.015,3,0.1633333333333333,0.1499999999999999,0.18,0.02204490073649423,7.409120834141165,20.167404845466155,6.045050509043785e-06,0.018216571579912355,1.55440414507772e-05
toluene,toluene:0.025,0.025,3,0.17666666666666664,0.17,0.18,0.03674112049640852,4.808418041685364,10.543949737700546,8.090711065755169e-05,0.0432509413242595,2.5906735751295337e-05
toluene,toluene:0.05,0.05,3,0.2866666666666667,0.25,0.31,0.07348033740644865,3.9012704185202716,7.7056465064587565,0.00028363751502680874,0.06570340706907764,5.1813471502590674e-05
toluene,toluene:0.1,0.1,3,0.17333333333333334,0.15,0.19,0.1469530610591509,1.1795149558916909,1.281017840033706,0.3713464599416981,0.7187752196445666,0.00010362694300518135
toluene,toluene:0.25,0.25,3,0.32,0.26,0.39,0.36732556132656446,0.8711618076464587,0.8131080132191586,2.287741949125749,1.3176569141003482,0.00025906735751295336
toluene,toluene:10,10.0,3,0.11333333333333327,0.0999999999999999,0.14,14.54609222853195,0.0077913250894306564,0.0006877284461292686,4470252422674.235,16473.176402150697,0.010362694300518135
toluene,toluene:40,40.0,2,0.135,0.12,0.15,56.44752208087026,0.0023916018812409614,0.00011695891466668336,5344002858938682.0,174832.52395447652,0.04145077720207254
toluene,toluene:50,50.0,6,0.1683333333333333,0.12,0.2099999999999999,69.86423607299828,0.0024094349669471615,0.00011826951425732596,5111033734782136.0,172254.1058271649,0.05181347150259067
