solvent,speed_factor,viscosity_factor,tension_factor,density_factor,multiplier,rmse_nm,mae_nm,r2
ethyl_acetate,0.5,0.5,0.5,0.5,0.6299605249474367,1.4532189822643138,0.9413731767026962,-4.090593118910929
hexane,0.5,0.5,0.5,0.5,0.6299605249474367,1.3340193043562505,0.8079204433986051,0.7648643203189135
toluene,0.5,0.5,0.5,0.5,0.6299605249474367,20.20584405027241,10.419702233636798,-74032.13752817114
ethyl_acetate,0.5,0.5,0.5,1.0,0.4454493590701697,0.8372060659979544,0.6296036875516129,-0.6895497900539891
hexane,0.5,0.5,0.5,1.0,0.4454493590701697,1.917459393960016,1.1235412381422434,0.5142121402640594
toluene,0.5,0.5,0.5,1.0,0.4454493590701697,14.264557103660717,7.395290386140857,-36895.803684410974
ethyl_acetate,0.5,0.5,0.5,2.0,0.31498026247371835,0.5546225982833928,0.4893173646830155,0.25851668291188945
hexane,0.5,0.5,0.5,2.0,0.31498026247371835,2.3319385768200873,1.3467188423889578,0.281497109280622
toluene,0.5,0.5,0.5,2.0,0.31498026247371835,10.063680052887245,5.256708259675543,-18363.783121177796
ethyl_acetate,0.5,0.5,1.0,0.5,0.5612310241546866,1.2121265448200296,0.8181946464334978,-2.5416218323921114
hexane,0.5,0.5,1.0,0.5,0.5612310241546866,1.5507877581121965,0.9254876353861657,0.6822401411125772
toluene,0.5,0.5,1.0,0.5,0.5612310241546866,17.992717139385075,9.293123712051045,-58702.72591937854
ethyl_acetate,0.5,0.5,1.0,1.0,0.3968502629920499,0.7041973916027253,0.5647151325439993,-0.19535000067367525
hexane,0.5,0.5,1.0,1.0,0.3968502629920499,2.0717309798006145,1.2066737968417083,0.4328981989167088
toluene,0.5,0.5,1.0,1.0,0.3968502629920499,12.699713001343666,6.598679073988454,-29244.56222063313
ethyl_acetate,0.5,0.5,1.0,2.0,0.2806155120773433,0.5360192855711072,0.4768205692933341,0.30742454965347654
hexane,0.5,0.5,1.0,2.0,0.2806155120773433,2.4412546516469176,1.405502438382738,0.21255455797861655
toluene,0.5,0.5,1.0,2.0,0.2806155120773433,8.957271981634705,4.693418998882665,-14547.68311584436
ethyl_acetate,0.5,0.5,2.0,0.5,0.5000000000000001,1.0068732076542863,0.7122988814619188,-1.443744691381411
hexane,0.5,0.5,2.0,0.5,0.5000000000000001,1.7445219941031906,1.0302280960232428,0.5978878420679776
toluene,0.5,0.5,2.0,0.5,0.5000000000000001,16.021069052582654,8.289456351285859,-46542.08287122334
ethyl_acetate,0.5,0.5,2.0,1.0,0.3535533905932738,0.6097185470159402,0.5209892700034833,0.10388226189791938
hexane,0.5,0.5,2.0,1.0,0.3535533905932738,2.2092978557922884,1.2807364868227884,0.35508445095227703
toluene,0.5,0.5,2.0,1.0,0.3535533905932738,11.30562929782567,5.888979077135786,-23176.236060353087
ethyl_acetate,0.5,0.5,2.0,2.0,0.25000000000000006,0.5463498420995848,0.4840110751211214,0.2804716572942587
hexane,0.5,0.5,2.0,2.0,0.25000000000000006,2.5386826158493974,1.4578726687012766,0.1484480964727659
toluene,0.5,0.5,2.0,2.0,0.25000000000000006,7.971622761241402,4.1915853185000715,-11522.002038788403
ethyl_acetate,0.5,1.0,0.5,0.5,1.0000000000000002,2.8212351279439947,1.6543590575741456,-18.186017108851427
hexane,0.5,1.0,0.5,0.5,1.0000000000000002,0.26772538198443296,0.21177856171475315,0.9905294892879952
toluene,0.5,1.0,0.5,0.5,1.0000000000000002,32.121556895237276,16.494607052437605,-187095.3587665207
ethyl_acetate,0.5,1.0,0.5,1.0,0.7071067811865476,1.7316577112454583,1.0900172948816114,-6.2282033888803126
hexane,0.5,1.0,0.5,1.0,0.7071067811865476,1.0920960393886876,0.6759557322662663,0.8424146030368642
toluene,0.5,1.0,0.5,1.0,0.7071067811865476,22.690018822549288,11.684243868557289,-93354.92232449524
ethyl_acetate,0.5,1.0,0.5,2.0,0.5000000000000001,1.0068732076542863,0.7122988814619188,-1.443744691381411
hexane,0.5,1.0,0.5,2.0,0.5000000000000001,1.7445219941031909,1.0302280960232428,0.5978878420679776
toluene,0.5,1.0,0.5,2.0,0.5000000000000001,16.021069052582654,8.289456351285859,-46542.08287122334
ethyl_acetate,0.5,1.0,1.0,0.5,0.8908987181403394,2.411767860229921,1.4441445296785338,-13.020944450313683
hexane,0.5,1.0,1.0,0.5,0.8908987181403394,0.533262981830149,0.36156523490517645,0.9624268869308763
toluene,0.5,1.0,1.0,0.5,0.8908987181403394,28.608338620241252,14.701695043336116,-148407.0425569489
ethyl_acetate,0.5,1.0,1.0,1.0,0.6299605249474366,1.4532189822643136,0.9413731767026959,-4.090593118910927
hexane,0.5,1.0,1.0,1.0,0.6299605249474366,1.3340193043562505,0.8079204433986051,0.7648643203189135
toluene,0.5,1.0,1.0,1.0,0.6299605249474366,20.205844050272407,10.419702233636798,-74032.13752817111
ethyl_acetate,0.5,1.0,1.0,2.0,0.4454493590701697,0.8372060659979542,0.6296036875516128,-0.689549790053988
hexane,0.5,1.0,1.0,2.0,0.4454493590701697,1.917459393960016,1.1235412381422434,0.5142121402640594
toluene,0.5,1.0,1.0,2.0,0.4454493590701697,14.264557103660715,7.395290386140855,-36895.80368441097
ethyl_acetate,0.5,1.0,2.0,0.5,0.7937005259840998,2.050012941180741,1.2568646762418572,-9.130233765481774
hexane,0.5,1.0,2.0,0.5,0.7937005259840998,0.8238508349680415,0.5278303523041065,0.9103208510315248
toluene,0.5,1.0,2.0,0.5,0.7937005259840998,25.478431907787854,13.10544651890447,-117710.13643314184
ethyl_acetate,0.5,1.0,2.0,1.0,0.5612310241546865,1.2121265448200296,0.8181946464334978,-2.5416218323921114
hexane,0.5,1.0,2.0,1.0,0.5612310241546865,1.5507877581121958,0.9254876353861654,0.6822401411125775
toluene,0.5,1.0,2.0,1.0,0.5612310241546865,17.992717139385075,9.293123712051045,-58702.72591937854
ethyl_acetate,0.5,1.0,2.0,2.0,0.3968502629920499,0.7041973916027252,0.5647151325439992,-0.19535000067367503
hexane,0.5,1.0,2.0,2.0,0.3968502629920499,2.0717309798006145,1.2066737968417083,0.4328981989167088
toluene,0.5,1.0,2.0,2.0,0.3968502629920499,12.699713001343666,6.598679073988454,-29244.56222063313
ethyl_acetate,0.5,2.0,0.5,0.5,1.5874010519681996,5.051015495167415,2.7861535949079568,-60.49837828971013
hexane,0.5,2.0,0.5,0.5,1.5874010519681996,1.7625656053514438,0.9346971307517599,0.5895267235177366
toluene,0.5,2.0,0.5,0.5,1.5874010519681996,51.0368682794633,26.1689505404418,-472323.1986832741
ethyl_acetate,0.5,2.0,0.5,1.0,1.122462048309373,3.283528906070676,1.8903168871402407,-24.98890309378937
hexane,0.5,2.0,0.5,1.0,1.122462048309373,0.3502458787620321,0.24364327764634608,0.9837915915087881
toluene,0.5,2.0,0.5,1.0,1.122462048309373,36.06502600792458,18.50921178066271,-235853.76843900437
ethyl_acetate,0.5,2.0,0.5,2.0,0.7937005259840998,2.050012941180741,1.2568646762418572,-9.130233765481774
hexane,0.5,2.0,0.5,2.0,0.7937005259840998,0.8238508349680422,0.5278303523041069,0.9103208510315246
toluene,0.5,2.0,0.5,2.0,0.7937005259840998,25.47843190778786,13.105446518904472,-117710.1364331419
ethyl_acetate,0.5,2.0,1.0,0.5,1.4142135623730951,4.3911693009930985,2.4524588321874647,-45.48005413067409
hexane,0.5,2.0,1.0,0.5,1.4142135623730951,1.2160907759912918,0.6597251844287588,0.804599219265228
toluene,0.5,2.0,1.0,0.5,1.4142135623730951,45.4599202141357,23.31488198899168,-374738.5233136345
ethyl_acetate,0.5,2.0,1.0,1.0,1.0,2.8212351279439942,1.6543590575741451,-18.186017108851416
hexane,0.5,2.0,1.0,1.0,1.0,0.2677253819844333,0.21177856171475326,0.9905294892879952
toluene,0.5,2.0,1.0,1.0,1.0,32.121556895237276,16.494607052437605,-187095.3587665207
ethyl_acetate,0.5,2.0,1.0,2.0,0.7071067811865476,1.7316577112454574,1.090017294881611,-6.228203388880306
hexane,0.5,2.0,1.0,2.0,0.7071067811865476,1.092096039388688,0.6759557322662665,0.8424146030368642
toluene,0.5,2.0,1.0,2.0,0.7071067811865476,22.690018822549288,11.684243868557289,-93354.92232449524
ethyl_acetate,0.5,2.0,2.0,0.5,1.2599210498948732,3.8045779738832923,2.155170595829634,-33.89146787896956
hexane,0.5,2.0,2.0,0.5,1.2599210498948732,0.7382107847389149,0.4153101650464153,0.9279962563307614
toluene,0.5,2.0,2.0,0.5,1.2599210498948732,40.49143371723333,20.77247316045013,-297301.4380490922
ethyl_acetate,0.5,2.0,2.0,1.0,0.8908987181403393,2.411767860229921,1.4441445296785338,-13.020944450313683
hexane,0.5,2.0,2.0,1.0,0.8908987181403393,0.533262981830149,0.36156523490517645,0.9624268869308763
toluene,0.5,2.0,2.0,1.0,0.8908987181403393,28.608338620241256,14.701695043336116,-148407.04255694893
ethyl_acetate,0.5,2.0,2.0,2.0,0.6299605249474366,1.4532189822643131,0.9413731767026958,-4.090593118910925
hexane,0.5,2.0,2.0,2.0,0.6299605249474366,1.3340193043562505,0.8079204433986051,0.7648643203189135
toluene,0.5,2.0,2.0,2.0,0.6299605249474366,20.20584405027241,10.4197022336368,-74032.13752817114
ethyl_acetate,1.0,0.5,0.5,0.5,1.0000000000000002,2.8212351279439947,1.6543590575741456,-18.186017108851427
hexane,1.0,0.5,0.5,0.5,1.0000000000000002,0.26772538198443296,0.21177856171475315,0.9905294892879952
toluene,1.0,0.5,0.5,0.5,1.0000000000000002,32.121556895237276,16.494607052437605,-187095.3587665207
ethyl_acetate,1.0,0.5,0.5,1.0,0.7071067811865476,1.7316577112454583,1.0900172948816114,-6.2282033888803126
hexane,1.0,0.5,0.5,1.0,0.7071067811865476,1.0920960393886876,0.6759557322662663,0.8424146030368642
toluene,1.0,0.5,0.5,1.0,0.7071067811865476,22.690018822549288,11.684243868557289,-93354.92232449524
ethyl_acetate,1.0,0.5,0.5,2.0,0.5000000000000001,1.0068732076542863,0.7122988814619188,-1.443744691381411
hexane,1.0,0.5,0.5,2.0,0.5000000000000001,1.7445219941031909,1.0302280960232428,0.5978878420679776
toluene,1.0,0.5,0.5,2.0,0.5000000000000001,16.021069052582654,8.289456351285859,-46542.08287122334
