cohort,protocol,model,solvent,n,groups,group_weighted_rmse_nm,rmse_nm,mae_nm,r2
including_summaries_sensitivity,grouped_cv,fixed_lld,all,141,40,14.433977553026132,17.788073376448896,5.611551929026225,-83.37484425065715
including_summaries_sensitivity,grouped_cv,fixed_lld,ethyl_acetate,33,9,3.114414826213963,2.8212351279439942,1.6543590575741454,-18.18601710885142
including_summaries_sensitivity,grouped_cv,fixed_lld,hexane,58,16,0.2967009249400992,0.2677253819844333,0.21177856171475326,0.9905294892879952
including_summaries_sensitivity,grouped_cv,fixed_lld,toluene,50,15,23.44480553646664,29.781798731933947,14.487036330265905,-97317.34852352022
including_summaries_sensitivity,grouped_cv,local_mean,all,141,40,2.3645596279670706,1.9627661149263855,1.1678630087968995,-0.02728811372939477
including_summaries_sensitivity,grouped_cv,local_mean,ethyl_acetate,33,9,0.7083228724050809,0.6804902098001778,0.5042748917748918,-0.11622057826938881
including_summaries_sensitivity,grouped_cv,local_mean,hexane,58,16,3.6990618307108485,3.0154046132840753,2.4734079091406675,-0.20139410253731094
including_summaries_sensitivity,grouped_cv,local_mean,toluene,50,15,0.11583404956256452,0.1039026849674271,0.09139908163265305,-0.18453097703307897
including_summaries_sensitivity,grouped_cv,mean,all,141,40,2.581292231092747,1.969233210029244,1.1736152840914185,-0.03406886543417054
including_summaries_sensitivity,grouped_cv,mean,ethyl_acetate,33,9,0.7198982174796861,0.6907449173436399,0.49055659311190286,-0.1501160335124836
including_summaries_sensitivity,grouped_cv,mean,hexane,58,16,3.9511758380732664,2.9049388047319766,1.7975205436156763,-0.11498309262091189
including_summaries_sensitivity,grouped_cv,mean,toluene,50,15,0.897026727443997,0.9120628259018083,0.9007039190897601,-90.2730139688996
including_summaries_sensitivity,grouped_cv,rf_log_interactions,all,141,40,1.2186394878891578,0.9677239463683422,0.47568511123480534,0.7502772347907002
including_summaries_sensitivity,grouped_cv,rf_log_interactions,ethyl_acetate,33,9,0.5655666050966549,0.5137471494510574,0.3152661825316938,0.36378323017697367
including_summaries_sensitivity,grouped_cv,rf_log_interactions,hexane,58,16,1.7234779977684138,1.1857792600009753,0.5148873229124661,0.8142186964227096
including_summaries_sensitivity,grouped_cv,rf_log_interactions,toluene,50,15,0.7745310518344125,0.9141437963585894,0.5360870386327724,-90.68998771345211
including_summaries_sensitivity,grouped_cv,rf_raw,all,141,40,0.8757231644995702,0.6384134427145677,0.3168820277255251,0.8913176035859647
including_summaries_sensitivity,grouped_cv,rf_raw,ethyl_acetate,33,9,0.6013388414054751,0.5467632190363066,0.3291267141633619,0.2793824323258727
including_summaries_sensitivity,grouped_cv,rf_raw,hexane,58,16,1.2987953414191902,0.8948272206352758,0.47834132959951914,0.8942031640297792
including_summaries_sensitivity,grouped_cv,rf_raw,toluene,50,15,0.16955970270570023,0.15236460872783983,0.12150774450271956,-1.5471884880762827
including_summaries_sensitivity,grouped_cv,ridge_log_interactions,all,141,40,1.5544723396091755,1.2591172974851748,0.7475901869342648,0.5772461804773392
including_summaries_sensitivity,grouped_cv,ridge_log_interactions,ethyl_acetate,33,9,0.7935552362093173,0.7474706435557001,0.5073904591751858,-0.3467734410860299
including_summaries_sensitivity,grouped_cv,ridge_log_interactions,hexane,58,16,2.286332534779235,1.6916477903377571,1.0346086554256115,0.6218934528786306
including_summaries_sensitivity,grouped_cv,ridge_log_interactions,toluene,50,15,0.7000351236294403,0.8845741317276976,0.5731805838052946,-84.85416158528345
including_summaries_sensitivity,grouped_cv,ridge_raw,all,141,40,2.361926154426776,1.901997640854566,1.118688415744164,0.035338141325904515
including_summaries_sensitivity,grouped_cv,ridge_raw,ethyl_acetate,33,9,0.662632700613563,0.6296412111597407,0.45318817208357115,0.04436388678269987
including_summaries_sensitivity,grouped_cv,ridge_raw,hexane,58,16,3.6373460589075015,2.7875922148395493,1.9906191937315203,-0.02672181999580614
including_summaries_sensitivity,grouped_cv,ridge_raw,toluene,50,15,0.7076480226454165,0.9622809586647135,0.5464788740948225,-100.60069206016702
including_summaries_sensitivity,grouped_cv,saturating_mobile,all,141,40,0.39263517311007906,0.36910102596906424,0.23737511449353524,0.9636716507237086
including_summaries_sensitivity,grouped_cv,saturating_mobile,ethyl_acetate,33,9,0.708660982027155,0.6555359733010512,0.48983693162182385,-0.03585584306176459
including_summaries_sensitivity,grouped_cv,saturating_mobile,hexane,58,16,0.30314579939773745,0.27981352815488664,0.2273285755943395,0.989654970798592
including_summaries_sensitivity,grouped_cv,saturating_mobile,toluene,50,15,0.10842314279960424,0.09869802252421361,0.08240430031193177,-0.06883282899970777
including_summaries_sensitivity,grouped_cv,scaled_lld,all,141,40,0.37669092023063055,0.3577683480436479,0.28037255287411794,0.9658682158111712
