cohort,protocol,fold,solvent,model,fit_scope,training_groups,scale,mean_mobile_nm,amplitude_nm,half_concentration_g_l,bound_hit,training_condition_mse
primary,grouped_cv,1,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
primary,grouped_cv,1,ethyl_acetate,local_mean,same_solvent,7,,0.8609523809523809,,,,
primary,grouped_cv,1,ethyl_acetate,scaled_lld,same_solvent,7,0.3217715446775109,,,,,
primary,grouped_cv,1,ethyl_acetate,saturating_mobile,same_solvent,7,,,1.2178175309669217,0.21124659267954032,False,0.029863916289745433
primary,grouped_cv,1,hexane,fixed_lld,same_solvent,13,1.0,,,,,
primary,grouped_cv,1,hexane,local_mean,same_solvent,13,,2.9137179487179483,,,,
primary,grouped_cv,1,hexane,scaled_lld,same_solvent,13,1.0381354564174592,,,,,
primary,grouped_cv,1,hexane,saturating_mobile,same_solvent,13,,,595.7466731406577,458.6017234477063,False,0.061354920225614874
primary,grouped_cv,1,toluene,fixed_lld,same_solvent,9,1.0,,,,,
primary,grouped_cv,1,toluene,local_mean,same_solvent,9,,0.1938888888888889,,,,
primary,grouped_cv,1,toluene,scaled_lld,same_solvent,9,0.0027803956383777775,,,,,
primary,grouped_cv,1,toluene,saturating_mobile,same_solvent,9,,,0.20742924397604287,0.001560820832667515,False,0.005695742479275777
primary,grouped_cv,2,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
primary,grouped_cv,2,ethyl_acetate,local_mean,same_solvent,7,,1.273809523809524,,,,
primary,grouped_cv,2,ethyl_acetate,scaled_lld,same_solvent,7,0.2752998043859333,,,,,
primary,grouped_cv,2,ethyl_acetate,saturating_mobile,same_solvent,7,,,3.5119117411782934,4.54131561643905,False,0.20309584165621095
primary,grouped_cv,2,hexane,fixed_lld,same_solvent,13,1.0,,,,,
primary,grouped_cv,2,hexane,local_mean,same_solvent,13,,2.408717948717949,,,,
primary,grouped_cv,2,hexane,scaled_lld,same_solvent,13,1.0191424531165227,,,,,
primary,grouped_cv,2,hexane,saturating_mobile,same_solvent,13,,,9999.99999999999,7971.129512299339,True,0.04164048522824854
primary,grouped_cv,2,toluene,fixed_lld,same_solvent,9,1.0,,,,,
primary,grouped_cv,2,toluene,local_mean,same_solvent,9,,0.19314814814814815,,,,
